timestamp_ns,gx_rad_s,gy_rad_s,gz_rad_s
0,1.096622711232,0.0,0.0
33333333,1.090615297278,0.0,0.0
66666667,1.072658873902,0.0,0.0
100000000,1.042950175435,0.0,0.0
133333333,1.001814696594,0.0,0.0
166666667,0.949703126294,0.0,0.0
200000000,0.887186409804,0.0,0.0
233333333,0.814949493353,0.0,0.0
266666667,0.733783819714,0.0,0.0
300000000,0.644578656991,0.0,0.0
333333333,0.548311355616,0.0,0.0
366666667,0.446036640287,0.0,0.0
400000000,0.338875054188,0.0,0.0
433333333,0.228000682081,0.0,0.0
466666667,0.114628286790,0.0,0.0
500000000,0.000000000000,0.0,0.0
533333333,-0.114628286790,0.0,0.0
566666667,-0.228000682081,0.0,0.0
600000000,-0.338875054188,0.0,0.0
633333333,-0.446036640287,0.0,0.0
666666667,-0.548311355616,0.0,0.0
700000000,-0.644578656991,0.0,0.0
733333333,-0.733783819714,0.0,0.0
766666667,-0.814949493353,0.0,0.0
800000000,-0.887186409804,0.0,0.0
833333333,-0.949703126294,0.0,0.0
866666667,-1.001814696594,0.0,0.0
900000000,-1.042950175435,0.0,0.0
933333333,-1.072658873902,0.0,0.0
966666667,-1.090615297278,0.0,0.0
1000000000,-1.096622711232,0.0,0.0
1033333333,-1.090615297278,0.0,0.0
1066666667,-1.072658873902,0.0,0.0
1100000000,-1.042950175435,0.0,0.0
1133333333,-1.001814696594,0.0,0.0
1166666667,-0.949703126294,0.0,0.0
1200000000,-0.887186409804,0.0,0.0
1233333333,-0.814949493353,0.0,0.0
1266666667,-0.733783819714,0.0,0.0
1300000000,-0.644578656991,0.0,0.0
1333333333,-0.548311355616,0.0,0.0
1366666667,-0.446036640287,0.0,0.0
1400000000,-0.338875054188,0.0,0.0
1433333333,-0.228000682081,0.0,0.0
1466666667,-0.114628286790,0.0,0.0
1500000000,-0.000000000000,0.0,0.0
1533333333,0.114628286790,0.0,0.0
1566666667,0.228000682081,0.0,0.0
